"location","activity","date","change","value","source"
"Greater London","Residential",2020-05-12,30,130,"Google"
"Greater London","Workplaces",2020-05-13,-70,30,"Google"
"Greater London","Residential",2020-05-13,31,131,"Google"
"Greater London","Workplaces",2020-05-14,-70,30,"Google"
"Greater London","Residential",2020-05-14,30,130,"Google"
"Greater London","Workplaces",2020-05-15,-68,32,"Google"
"Greater London","Residential",2020-05-15,30,130,"Google"
"Greater London","Workplaces",2020-05-16,-49,51,"Google"
"Greater London","Residential",2020-05-16,18,118,"Google"
"Greater London","Workplaces",2020-05-17,-46,54,"Google"
"Greater London","Residential",2020-05-17,14,114,"Google"
"Greater London","Workplaces",2020-05-18,-68,32,"Google"
"Greater London","Residential",2020-05-18,28,128,"Google"
"Greater London","Workplaces",2020-05-19,-68,32,"Google"
"Greater London","Residential",2020-05-19,28,128,"Google"
"Greater London","Workplaces",2020-05-20,-68,32,"Google"
"Greater London","Residential",2020-05-20,28,128,"Google"
"Greater London","Workplaces",2020-05-21,-68,32,"Google"
"Greater London","Residential",2020-05-21,29,129,"Google"
"Greater London","Workplaces",2020-05-22,-66,34,"Google"
"Greater London","Residential",2020-05-22,29,129,"Google"
"Greater London","Workplaces",2020-05-23,-45,55,"Google"
"Greater London","Residential",2020-05-23,18,118,"Google"
"Greater London","Workplaces",2020-05-24,-43,57,"Google"
"Greater London","Residential",2020-05-24,12,112,"Google"
"Greater London","Workplaces",2020-05-25,-82,18,"Google"
"Greater London","Residential",2020-05-25,28,128,"Google"
"Greater London","Workplaces",2020-05-26,-67,33,"Google"
"Greater London","Residential",2020-05-26,27,127,"Google"
"Greater London","Workplaces",2020-05-27,-66,34,"Google"
"Greater London","Residential",2020-05-27,27,127,"Google"
"Greater London","Workplaces",2020-05-28,-66,34,"Google"
"Greater London","Residential",2020-05-28,28,128,"Google"
"Greater London","Workplaces",2020-05-29,-64,36,"Google"
"Greater London","Residential",2020-05-29,27,127,"Google"
"Greater London","Workplaces",2020-05-30,-35,65,"Google"
"Greater London","Residential",2020-05-30,14,114,"Google"
"Greater London","Workplaces",2020-05-31,-33,67,"Google"
"Greater London","Residential",2020-05-31,11,111,"Google"
"Greater London","Workplaces",2020-06-01,-63,37,"Google"
"Greater London","Residential",2020-06-01,25,125,"Google"
"Greater London","Workplaces",2020-06-02,-63,37,"Google"
"Greater London","Residential",2020-06-02,25,125,"Google"
"Greater London","Workplaces",2020-06-03,-63,37,"Google"
"Greater London","Residential",2020-06-03,27,127,"Google"
"Greater London","Workplaces",2020-06-04,-63,37,"Google"
"Greater London","Residential",2020-06-04,28,128,"Google"
"Greater London","Workplaces",2020-06-05,-62,38,"Google"
"Greater London","Residential",2020-06-05,28,128,"Google"
"Greater London","Workplaces",2020-06-06,-38,62,"Google"
"Greater London","Residential",2020-06-06,17,117,"Google"
"Greater London","Workplaces",2020-06-07,-35,65,"Google"
"Greater London","Residential",2020-06-07,12,112,"Google"
"Greater London","Workplaces",2020-06-08,-61,39,"Google"
"Greater London","Residential",2020-06-08,25,125,"Google"
"Greater London","Workplaces",2020-06-09,-61,39,"Google"
"Greater London","Residential",2020-06-09,25,125,"Google"
"Greater London","Workplaces",2020-06-10,-62,38,"Google"
"Greater London","Residential",2020-06-10,28,128,"Google"
"Greater London","Workplaces",2020-06-11,-62,38,"Google"
"Greater London","Residential",2020-06-11,27,127,"Google"
"Greater London","Workplaces",2020-06-12,-60,40,"Google"
"Greater London","Residential",2020-06-12,27,127,"Google"
"Greater London","Workplaces",2020-06-13,-28,72,"Google"
"Greater London","Residential",2020-06-13,12,112,"Google"
"Greater London","Workplaces",2020-06-14,-27,73,"Google"
"Greater London","Residential",2020-06-14,10,110,"Google"
"Greater London","Workplaces",2020-06-15,-59,41,"Google"
"Greater London","Residential",2020-06-15,23,123,"Google"
"Greater London","Workplaces",2020-06-16,-60,40,"Google"
"Greater London","Residential",2020-06-16,24,124,"Google"
"Greater London","Workplaces",2020-06-17,-60,40,"Google"
"Greater London","Residential",2020-06-17,25,125,"Google"
"Greater London","Workplaces",2020-06-18,-61,39,"Google"
"Greater London","Residential",2020-06-18,26,126,"Google"
"Greater London","Workplaces",2020-06-19,-58,42,"Google"
"Greater London","Residential",2020-06-19,24,124,"Google"
"Greater London","Workplaces",2020-06-20,-25,75,"Google"
"Greater London","Residential",2020-06-20,11,111,"Google"
"Greater London","Workplaces",2020-06-21,-23,77,"Google"
"Greater London","Residential",2020-06-21,9,109,"Google"
"Greater London","Workplaces",2020-06-22,-60,40,"Google"
"Greater London","Residential",2020-06-22,22,122,"Google"
"Greater London","Workplaces",2020-06-23,-60,40,"Google"
"Greater London","Residential",2020-06-23,22,122,"Google"
"Greater London","Workplaces",2020-06-24,-58,42,"Google"
"Greater London","Residential",2020-06-24,22,122,"Google"
"Greater London","Workplaces",2020-06-25,-59,41,"Google"
"Greater London","Residential",2020-06-25,22,122,"Google"
"Greater London","Workplaces",2020-06-26,-57,43,"Google"
"Greater London","Residential",2020-06-26,22,122,"Google"
"Greater London","Workplaces",2020-06-27,-29,71,"Google"
"Greater London","Residential",2020-06-27,12,112,"Google"
"Greater London","Workplaces",2020-06-28,-22,78,"Google"
"Greater London","Residential",2020-06-28,9,109,"Google"
"Greater London","Workplaces",2020-06-29,-58,42,"Google"
"Greater London","Residential",2020-06-29,22,122,"Google"
"Greater London","Workplaces",2020-06-30,-58,42,"Google"
"Greater London","Residential",2020-06-30,23,123,"Google"
"Greater London","Workplaces",2020-07-01,-57,43,"Google"
"Greater London","Residential",2020-07-01,23,123,"Google"
"Greater London","Workplaces",2020-07-02,-58,42,"Google"
"Greater London","Residential",2020-07-02,23,123,"Google"
"Greater London","Workplaces",2020-07-03,-56,44,"Google"
"Greater London","Residential",2020-07-03,22,122,"Google"
"Greater London","Workplaces",2020-07-04,-23,77,"Google"
"Greater London","Residential",2020-07-04,10,110,"Google"
"Greater London","Workplaces",2020-07-05,-20,80,"Google"
"Greater London","Residential",2020-07-05,7,107,"Google"
"Greater London","Workplaces",2020-07-06,-57,43,"Google"
"Greater London","Residential",2020-07-06,20,120,"Google"
"Greater London","Workplaces",2020-07-07,-58,42,"Google"
"Greater London","Residential",2020-07-07,21,121,"Google"
"Greater London","Workplaces",2020-07-08,-57,43,"Google"
"Greater London","Residential",2020-07-08,22,122,"Google"
"Greater London","Workplaces",2020-07-09,-57,43,"Google"
"Greater London","Residential",2020-07-09,22,122,"Google"
"Greater London","Workplaces",2020-07-10,-55,45,"Google"
"Greater London","Residential",2020-07-10,19,119,"Google"
"Greater London","Workplaces",2020-07-11,-20,80,"Google"
"Greater London","Residential",2020-07-11,7,107,"Google"
"Greater London","Workplaces",2020-07-12,-17,83,"Google"
"Greater London","Residential",2020-07-12,5,105,"Google"
"Greater London","Workplaces",2020-07-13,-56,44,"Google"
"Greater London","Residential",2020-07-13,19,119,"Google"
"Greater London","Workplaces",2020-07-14,-57,43,"Google"
"Greater London","Residential",2020-07-14,20,120,"Google"
"Greater London","Workplaces",2020-07-15,-55,45,"Google"
"Greater London","Residential",2020-07-15,20,120,"Google"
"Greater London","Workplaces",2020-07-16,-55,45,"Google"
"Greater London","Residential",2020-07-16,20,120,"Google"
"Greater London","Workplaces",2020-07-17,-53,47,"Google"
"Greater London","Residential",2020-07-17,17,117,"Google"
"Greater London","Workplaces",2020-07-18,-19,81,"Google"
"Greater London","Residential",2020-07-18,6,106,"Google"
"Greater London","Workplaces",2020-07-19,-18,82,"Google"
"Greater London","Residential",2020-07-19,6,106,"Google"
"Greater London","Workplaces",2020-07-20,-57,43,"Google"
"Greater London","Residential",2020-07-20,18,118,"Google"
"Greater London","Workplaces",2020-07-21,-58,42,"Google"
"Greater London","Residential",2020-07-21,18,118,"Google"
"Greater London","Workplaces",2020-07-22,-56,44,"Google"
"Greater London","Residential",2020-07-22,19,119,"Google"
"Greater London","Workplaces",2020-07-23,-56,44,"Google"
"Greater London","Residential",2020-07-23,19,119,"Google"
"Greater London","Workplaces",2020-07-24,-55,45,"Google"
"Greater London","Residential",2020-07-24,18,118,"Google"
"Greater London","Workplaces",2020-07-25,-21,79,"Google"
"Greater London","Residential",2020-07-25,8,108,"Google"
"Greater London","Workplaces",2020-07-26,-15,85,"Google"
"Greater London","Residential",2020-07-26,5,105,"Google"
"Greater London","Workplaces",2020-07-27,-59,41,"Google"
"Greater London","Residential",2020-07-27,19,119,"Google"
"Greater London","Workplaces",2020-07-28,-58,42,"Google"
"Greater London","Residential",2020-07-28,18,118,"Google"
"Greater London","Workplaces",2020-07-29,-57,43,"Google"
"Greater London","Residential",2020-07-29,18,118,"Google"
"Greater London","Workplaces",2020-07-30,-58,42,"Google"
"Greater London","Residential",2020-07-30,17,117,"Google"
"Greater London","Workplaces",2020-07-31,-57,43,"Google"
"Greater London","Residential",2020-07-31,15,115,"Google"
"Greater London","Workplaces",2020-08-01,-19,81,"Google"
"Greater London","Residential",2020-08-01,4,104,"Google"
"Greater London","Workplaces",2020-08-02,-15,85,"Google"
"Greater London","Residential",2020-08-02,3,103,"Google"
"Greater London","Workplaces",2020-08-03,-58,42,"Google"
"Greater London","Residential",2020-08-03,16,116,"Google"
"Greater London","Workplaces",2020-08-04,-58,42,"Google"
"Greater London","Residential",2020-08-04,17,117,"Google"
"Greater London","Workplaces",2020-08-05,-57,43,"Google"
"Greater London","Residential",2020-08-05,17,117,"Google"
"Greater London","Workplaces",2020-08-06,-58,42,"Google"
"Greater London","Residential",2020-08-06,17,117,"Google"
"Greater London","Workplaces",2020-08-07,-56,44,"Google"
"Greater London","Residential",2020-08-07,16,116,"Google"
"Greater London","Workplaces",2020-08-08,-20,80,"Google"
"Greater London","Residential",2020-08-08,4,104,"Google"
"Greater London","Workplaces",2020-08-09,-15,85,"Google"
"Greater London","Residential",2020-08-09,2,102,"Google"
"Greater London","Workplaces",2020-08-10,-58,42,"Google"
"Greater London","Residential",2020-08-10,15,115,"Google"
"Greater London","Workplaces",2020-08-11,-58,42,"Google"
"Greater London","Residential",2020-08-11,16,116,"Google"
"Greater London","Workplaces",2020-08-12,-57,43,"Google"
"Greater London","Residential",2020-08-12,17,117,"Google"
"Greater London","Workplaces",2020-08-13,-58,42,"Google"
"Greater London","Residential",2020-08-13,18,118,"Google"
"Greater London","Workplaces",2020-08-14,-56,44,"Google"
"Greater London","Residential",2020-08-14,17,117,"Google"
"Greater London","Workplaces",2020-08-15,-21,79,"Google"
"Greater London","Residential",2020-08-15,6,106,"Google"
"Greater London","Workplaces",2020-08-16,-16,84,"Google"
"Greater London","Residential",2020-08-16,4,104,"Google"
"Greater London","Workplaces",2020-08-17,-58,42,"Google"
"Greater London","Residential",2020-08-17,16,116,"Google"
"Greater London","Workplaces",2020-08-18,-56,44,"Google"
"Greater London","Residential",2020-08-18,16,116,"Google"
"Greater London","Workplaces",2020-08-19,-57,43,"Google"
"Greater London","Residential",2020-08-19,18,118,"Google"
"Greater London","Workplaces",2020-08-20,-56,44,"Google"
"Greater London","Residential",2020-08-20,16,116,"Google"
"Greater London","Workplaces",2020-08-21,-55,45,"Google"
"Greater London","Residential",2020-08-21,16,116,"Google"
"Greater London","Workplaces",2020-08-22,-17,83,"Google"
"Greater London","Residential",2020-08-22,4,104,"Google"
"Greater London","Workplaces",2020-08-23,-14,86,"Google"
"Greater London","Residential",2020-08-23,3,103,"Google"
"Greater London","Workplaces",2020-08-24,-56,44,"Google"
"Greater London","Residential",2020-08-24,15,115,"Google"
"Greater London","Workplaces",2020-08-25,-57,43,"Google"
"Greater London","Residential",2020-08-25,17,117,"Google"
"Greater London","Workplaces",2020-08-26,-54,46,"Google"
"Greater London","Residential",2020-08-26,15,115,"Google"
"Greater London","Workplaces",2020-08-27,-56,44,"Google"
"Greater London","Residential",2020-08-27,17,117,"Google"
"Greater London","Workplaces",2020-08-28,-55,45,"Google"
"Greater London","Residential",2020-08-28,15,115,"Google"
"Greater London","Workplaces",2020-08-29,-19,81,"Google"
"Greater London","Residential",2020-08-29,5,105,"Google"
"Greater London","Workplaces",2020-08-30,-15,85,"Google"
"Greater London","Residential",2020-08-30,2,102,"Google"
"Greater London","Workplaces",2020-08-31,-74,26,"Google"
"Greater London","Residential",2020-08-31,17,117,"Google"
"Greater London","Workplaces",2020-09-01,-56,44,"Google"
"Greater London","Residential",2020-09-01,15,115,"Google"
"Greater London","Workplaces",2020-09-02,-54,46,"Google"
"Greater London","Residential",2020-09-02,16,116,"Google"
"Greater London","Workplaces",2020-09-03,-54,46,"Google"
"Greater London","Residential",2020-09-03,16,116,"Google"
"Greater London","Workplaces",2020-09-04,-51,49,"Google"
"Greater London","Residential",2020-09-04,14,114,"Google"
"Greater London","Workplaces",2020-09-05,-17,83,"Google"
"Greater London","Residential",2020-09-05,4,104,"Google"
"Greater London","Workplaces",2020-09-06,-15,85,"Google"
"Greater London","Residential",2020-09-06,3,103,"Google"
"Greater London","Workplaces",2020-09-07,-54,46,"Google"
"Greater London","Residential",2020-09-07,14,114,"Google"
"Greater London","Workplaces",2020-09-08,-54,46,"Google"
"Greater London","Residential",2020-09-08,14,114,"Google"
"Greater London","Workplaces",2020-09-09,-51,49,"Google"
"Greater London","Residential",2020-09-09,14,114,"Google"
"Greater London","Workplaces",2020-09-10,-51,49,"Google"
"Greater London","Residential",2020-09-10,14,114,"Google"
"Greater London","Workplaces",2020-09-11,-49,51,"Google"
"Greater London","Residential",2020-09-11,12,112,"Google"
"Greater London","Workplaces",2020-09-12,-16,84,"Google"
"Greater London","Residential",2020-09-12,4,104,"Google"
"Greater London","Workplaces",2020-09-13,-13,87,"Google"
"Greater London","Residential",2020-09-13,2,102,"Google"
"Greater London","Workplaces",2020-09-14,-47,53,"Google"
"Greater London","Residential",2020-09-14,12,112,"Google"
"Greater London","Workplaces",2020-09-15,-48,52,"Google"
"Greater London","Residential",2020-09-15,13,113,"Google"
"Greater London","Workplaces",2020-09-16,-47,53,"Google"
"Greater London","Residential",2020-09-16,14,114,"Google"
"Greater London","Workplaces",2020-09-17,-47,53,"Google"
"Greater London","Residential",2020-09-17,13,113,"Google"
"Greater London","Workplaces",2020-09-18,-45,55,"Google"
"Greater London","Residential",2020-09-18,12,112,"Google"
"Greater London","Workplaces",2020-09-19,-16,84,"Google"
"Greater London","Residential",2020-09-19,5,105,"Google"
"Greater London","Workplaces",2020-09-20,-14,86,"Google"
"Greater London","Residential",2020-09-20,3,103,"Google"
"Greater London","Workplaces",2020-09-21,-48,52,"Google"
"Greater London","Residential",2020-09-21,13,113,"Google"
"Greater London","Workplaces",2020-09-22,-48,52,"Google"
"Greater London","Residential",2020-09-22,13,113,"Google"
"Greater London","Workplaces",2020-09-23,-46,54,"Google"
"Greater London","Residential",2020-09-23,15,115,"Google"
"Greater London","Workplaces",2020-09-24,-47,53,"Google"
"Greater London","Residential",2020-09-24,15,115,"Google"
"Greater London","Workplaces",2020-09-25,-45,55,"Google"
"Greater London","Residential",2020-09-25,14,114,"Google"
"Greater London","Workplaces",2020-09-26,-16,84,"Google"
"Greater London","Residential",2020-09-26,6,106,"Google"
"Greater London","Workplaces",2020-09-27,-16,84,"Google"
"Greater London","Residential",2020-09-27,6,106,"Google"
"Greater London","Workplaces",2020-09-28,-46,54,"Google"
"Greater London","Residential",2020-09-28,14,114,"Google"
"Greater London","Workplaces",2020-09-29,-46,54,"Google"
"Greater London","Residential",2020-09-29,15,115,"Google"
"Greater London","Workplaces",2020-09-30,-46,54,"Google"
"Greater London","Residential",2020-09-30,15,115,"Google"
"Greater London","Workplaces",2020-10-01,-44,56,"Google"
"Greater London","Residential",2020-10-01,15,115,"Google"
"Greater London","Workplaces",2020-10-02,-44,56,"Google"
"Greater London","Residential",2020-10-02,16,116,"Google"
"Greater London","Workplaces",2020-10-03,-17,83,"Google"
"Greater London","Residential",2020-10-03,8,108,"Google"
"Greater London","Workplaces",2020-10-04,-17,83,"Google"
"Greater London","Residential",2020-10-04,7,107,"Google"
"Greater London","Workplaces",2020-10-05,-45,55,"Google"
"Greater London","Residential",2020-10-05,14,114,"Google"
"Greater London","Workplaces",2020-10-06,-46,54,"Google"
"Greater London","Residential",2020-10-06,15,115,"Google"
"Greater London","Workplaces",2020-10-07,-44,56,"Google"
"Greater London","Residential",2020-10-07,14,114,"Google"
"Greater London","Workplaces",2020-10-08,-45,55,"Google"
"Greater London","Residential",2020-10-08,15,115,"Google"
"Greater London","Workplaces",2020-10-09,-42,58,"Google"
"Greater London","Residential",2020-10-09,14,114,"Google"
"Greater London","Workplaces",2020-10-10,-14,86,"Google"
"Greater London","Residential",2020-10-10,7,107,"Google"
"Greater London","Workplaces",2020-10-11,-13,87,"Google"
"Greater London","Residential",2020-10-11,5,105,"Google"
"Greater London","Workplaces",2020-10-12,-45,55,"Google"
"Greater London","Residential",2020-10-12,15,115,"Google"
"Greater London","Workplaces",2020-10-13,-45,55,"Google"
"Greater London","Residential",2020-10-13,16,116,"Google"
"Greater London","Workplaces",2020-10-14,-43,57,"Google"
"Greater London","Residential",2020-10-14,15,115,"Google"
"Greater London","Workplaces",2020-10-15,-43,57,"Google"
"Greater London","Residential",2020-10-15,15,115,"Google"
"Greater London","Workplaces",2020-10-16,-41,59,"Google"
"Greater London","Residential",2020-10-16,14,114,"Google"
"Greater London","Workplaces",2020-10-17,-15,85,"Google"
"Greater London","Residential",2020-10-17,8,108,"Google"
"Greater London","Workplaces",2020-10-18,-15,85,"Google"
"Greater London","Residential",2020-10-18,7,107,"Google"
"Greater London","Workplaces",2020-10-19,-46,54,"Google"
"Greater London","Residential",2020-10-19,16,116,"Google"
"Greater London","Workplaces",2020-10-20,-46,54,"Google"
"Greater London","Residential",2020-10-20,16,116,"Google"
"Greater London","Workplaces",2020-10-21,-46,54,"Google"
"Greater London","Residential",2020-10-21,18,118,"Google"
"Greater London","Workplaces",2020-10-22,-45,55,"Google"
"Greater London","Residential",2020-10-22,16,116,"Google"
"Greater London","Workplaces",2020-10-23,-44,56,"Google"
"Greater London","Residential",2020-10-23,16,116,"Google"
"Greater London","Workplaces",2020-10-24,-15,85,"Google"
"Greater London","Residential",2020-10-24,8,108,"Google"
"Greater London","Workplaces",2020-10-25,-14,86,"Google"
"Greater London","Residential",2020-10-25,6,106,"Google"
"Greater London","Workplaces",2020-10-26,-53,47,"Google"
"Greater London","Residential",2020-10-26,17,117,"Google"
"Greater London","Workplaces",2020-10-27,-54,46,"Google"
"Greater London","Residential",2020-10-27,18,118,"Google"
"Greater London","Workplaces",2020-10-28,-52,48,"Google"
"Greater London","Residential",2020-10-28,18,118,"Google"
"Greater London","Workplaces",2020-10-29,-53,47,"Google"
"Greater London","Residential",2020-10-29,19,119,"Google"
"Greater London","Workplaces",2020-10-30,-50,50,"Google"
"Greater London","Residential",2020-10-30,17,117,"Google"
"Greater London","Workplaces",2020-10-31,-15,85,"Google"
"Greater London","Residential",2020-10-31,8,108,"Google"
"Greater London","Workplaces",2020-11-01,-12,88,"Google"
"Greater London","Residential",2020-11-01,5,105,"Google"
"Greater London","Workplaces",2020-11-02,-44,56,"Google"
"Greater London","Residential",2020-11-02,14,114,"Google"
"Greater London","Workplaces",2020-11-03,-43,57,"Google"
"Greater London","Residential",2020-11-03,14,114,"Google"
"Greater London","Workplaces",2020-11-04,-41,59,"Google"
"Greater London","Residential",2020-11-04,12,112,"Google"
"Greater London","Workplaces",2020-11-05,-50,50,"Google"
"Greater London","Residential",2020-11-05,21,121,"Google"
"Greater London","Workplaces",2020-11-06,-49,51,"Google"
"Greater London","Residential",2020-11-06,22,122,"Google"
